
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2024-12-13 10:22:27 / ............................................ ~ 0.27ms
  2024-12-13 10:27:31 / ............................................ ~ 0.12ms
  2024-12-13 10:34:33 /.env ........................................ ~ 0.17ms
  2024-12-13 10:34:34 /.aws/credentials ............................ ~ 0.13ms
  2024-12-13 10:34:34 /.config.yaml ................................ ~ 0.11ms
  2024-12-13 10:34:35 /.env.bak .................................... ~ 0.67ms
  2024-12-13 10:34:36 /.env.example ................................ ~ 0.19ms
  2024-12-13 10:34:36 /.env.local .................................. ~ 0.15ms
  2024-12-13 10:34:42 /.env.prod ................................... ~ 0.12ms
  2024-12-13 10:34:43 /.env.production ............................. ~ 0.15ms
  2024-12-13 10:34:48 /.env.save ................................... ~ 0.72ms
  2024-12-13 10:34:50 /.env.testing ................................ ~ 0.17ms
  2024-12-13 10:34:51 /.env~ ....................................... ~ 0.13ms
  2024-12-13 10:34:53 /.json ....................................... ~ 0.33ms
  2024-12-13 10:34:53 / ............................................ ~ 0.15ms
  2024-12-13 10:34:53 /apple-touch-icon-precomposed.png ............ ~ 0.17ms
  2024-12-13 10:34:53 /apple-touch-icon.png ........................ ~ 0.07ms
  2024-12-13 10:34:54 / ............................................ ~ 0.25ms
  2024-12-13 10:34:55 / ............................................ ~ 0.32ms
  2024-12-13 10:34:56 /API/.env .................................... ~ 0.49ms
  2024-12-13 10:34:58 /Api/.env .................................... ~ 0.12ms
  2024-12-13 10:34:58 /admin/.env .................................. ~ 1.00ms
  2024-12-13 10:34:59 /api/.env .................................... ~ 0.12ms
  2024-12-13 10:35:00 /api/v2/.env ................................. ~ 0.27ms
  2024-12-13 10:35:01 /app/.env .................................... ~ 0.21ms
  2024-12-13 10:35:01 /app/config/.env ............................. ~ 0.15ms
  2024-12-13 10:35:02 /app_dev.php/_profiler/open .................. ~ 0.15ms
  2024-12-13 10:35:03 /app_dev.php/_profiler/phpinfo ............... ~ 0.19ms
  2024-12-13 10:35:04 /application/.env ............................ ~ 0.12ms
  2024-12-13 10:35:05 /apps/.env ................................... ~ 0.22ms
  2024-12-13 10:35:05 /backend/.env ................................ ~ 0.57ms
  2024-12-13 10:35:06 /client_secrets.json ......................... ~ 0.12ms
  2024-12-13 10:35:07 /cms/.env.prod ............................... ~ 0.12ms
  2024-12-13 10:35:07 /cms/.env.production ......................... ~ 0.15ms
  2024-12-13 10:35:27 /config/.env ................................. ~ 0.55ms
  2024-12-13 10:35:32 /core/.env ................................... ~ 0.13ms
  2024-12-13 10:35:35 /cp/.env ..................................... ~ 0.11ms
  2024-12-13 10:35:37 /credentials ................................. ~ 0.13ms
  2024-12-13 10:35:40 /crm/.env .................................... ~ 0.16ms
  2024-12-13 10:35:44 /data/.env ................................... ~ 0.15ms
  2024-12-13 10:35:50 /debug/default/view .......................... ~ 0.50ms
  2024-12-13 10:40:34 / ............................................ ~ 0.30ms
  2024-12-13 10:40:38 / ............................................ ~ 0.25ms
  2024-12-13 10:40:38 /favicon.ico ................................. ~ 0.19ms
  2024-12-13 10:51:00 / .......................................... ~ 500.47ms
